NCES District ID,LEA Name,Fips State Code,State Abbreviation,Average Number of Students in a Grade-Subject-Year,Average Number of Students in a Gender-Grade-Subject-Year,EB Male-Female Math Achievement Gap (SD Units),EB Male-Female ELA Achievement Gap (SD Units),EB Standard Error of Male-Female Math Achievement Gap (SD Units),EB Standard Error of Male-Female ELA Achievement Gap (SD Units),EB Male-Female Math Achievement Gap (Grade Equivalent Units),EB Male-Female ELA Achievement Gap (Grade Equivalent Units),EB Standard Error of Male-Female Math Achievement Gap (Grade Equivalent Units),EB Standard Error of Male-Female ELA Achievement Gap (Grade Equivalent Units),SES Composite - All Adults,SES Composite - Female Adults,SES Composite - Male Adults,Male-Female SES Composite Difference,Income at 50th percentile - All Adults,Income at 50th percentile - Female Adults,Income at 50th percentile - Male Adults,Male-Female Income V-Gap,Percent of Black Students in District,Percent of Hispanic Students in District,Percent of Other Race Students in District,Percent of White Students in District,Reliable District Gap Estimate; District has >200 Male/Female Students per Grade
101660,Geneva County,1,AL,219,110,-0.002,-0.248,0.020,0.023,-0.013,-0.769,0.058,0.073,-1.134,-1.823,-0.461,1.363,39871,16539,24361,0.414,0.145,0.064,0.006,0.785,0
101680,Greene County,1,AL,100,50,-0.094,-0.310,0.023,0.026,-0.279,-0.968,0.065,0.082,-2.007,-2.160,-1.861,0.299,29444,18633,22000,0.079,0.993,0.001,0.004,0.002,0
101690,Guntersville City,1,AL,150,75,0.059,-0.220,0.024,0.028,0.167,-0.685,0.071,0.089,-0.761,-1.789,0.242,2.031,34599,16388,31403,0.549,0.079,0.066,0.017,0.837,0
101710,Hale County,1,AL,211,105,-0.030,-0.257,0.020,0.023,-0.095,-0.800,0.057,0.071,-1.625,-2.055,-1.128,0.926,32708,17525,24404,0.332,0.709,0.009,0.002,0.280,0
101720,Haleyville City,1,AL,129,64,0.037,-0.231,0.022,0.026,0.098,-0.723,0.066,0.082,-1.092,-1.692,-0.415,1.278,45833,14262,24946,0.674,0.016,0.061,0.008,0.915,0
101730,Hartselle City,1,AL,241,121,0.033,-0.242,0.021,0.025,0.098,-0.754,0.061,0.077,-0.356,-0.903,0.269,1.172,57692,20249,36674,0.591,0.047,0.027,0.012,0.914,0
101740,Henry County,1,AL,211,105,-0.036,-0.281,0.020,0.023,-0.116,-0.872,0.057,0.072,-1.072,-1.549,-0.602,0.947,37187,19280,32189,0.593,0.350,0.032,0.005,0.613,0
101760,Homewood City,1,AL,279,139,0.029,-0.249,0.023,0.027,0.072,-0.775,0.067,0.084,0.870,0.218,1.541,1.323,80514,21980,29937,0.360,0.257,0.100,0.032,0.611,0
101770,Houston County,1,AL,503,252,0.034,-0.230,0.018,0.021,0.090,-0.715,0.052,0.065,-0.726,-1.224,-0.228,0.996,48181,20144,31702,0.499,0.162,0.033,0.003,0.802,1
101800,Huntsville City,1,AL,1717,859,0.001,-0.259,0.016,0.019,-0.003,-0.812,0.046,0.058,0.227,-0.644,1.114,1.758,51280,20461,30734,0.388,0.432,0.072,0.028,0.468,1
101830,Jackson County,1,AL,445,222,0.003,-0.263,0.018,0.021,0.003,-0.821,0.052,0.065,-1.174,-1.670,-0.685,0.985,45865,19665,29507,0.467,0.035,0.032,0.076,0.858,1
101860,Jacksonville City,1,AL,125,63,0.034,-0.237,0.025,0.029,0.090,-0.737,0.071,0.091,-1.193,-2.109,-0.117,1.992,59422,10692,19923,0.409,0.304,0.016,0.022,0.658,0
101890,Jasper City,1,AL,204,102,0.008,-0.267,0.022,0.025,0.015,-0.836,0.063,0.079,-0.667,-1.446,0.104,1.550,41764,18523,41032,0.675,0.199,0.041,0.010,0.749,0
101920,Jefferson County,1,AL,2771,1385,-0.024,-0.285,0.015,0.017,-0.079,-0.890,0.043,0.054,0.001,-0.363,0.371,0.733,59257,28071,38230,0.385,0.436,0.059,0.006,0.499,1
101950,Lamar County,1,AL,185,92,0.038,-0.209,0.021,0.024,0.109,-0.649,0.060,0.076,-1.240,-1.728,-0.824,0.905,43249,16000,29163,0.538,0.147,0.014,0.000,0.839,0
101980,Lanett City,1,AL,65,33,-0.040,-0.268,0.026,0.030,-0.119,-0.838,0.075,0.095,-1.984,-2.512,-1.431,1.081,24411,15182,20357,0.185,0.876,0.017,0.001,0.106,0
102010,Lauderdale County,1,AL,662,331,0.038,-0.230,0.017,0.020,0.106,-0.717,0.050,0.063,-0.745,-1.360,-0.192,1.169,52602,19281,35322,0.635,0.027,0.015,0.007,0.951,1
102040,Lawrence County,1,AL,379,190,0.005,-0.274,0.018,0.021,0.016,-0.849,0.053,0.066,-0.936,-1.570,-0.347,1.223,42962,18170,34667,0.673,0.125,0.022,0.111,0.741,0
102070,Lee County,1,AL,765,383,0.055,-0.188,0.017,0.020,0.155,-0.580,0.050,0.063,-0.628,-1.051,-0.232,0.819,55708,22015,31527,0.354,0.229,0.033,0.010,0.728,1
102100,Limestone County,1,AL,675,337,0.001,-0.269,0.016,0.019,-0.008,-0.834,0.048,0.060,-0.362,-0.850,0.023,0.873,56136,21512,33518,0.469,0.090,0.074,0.010,0.827,1
102130,Linden City,1,AL,48,24,-0.081,-0.274,0.040,0.047,-0.242,-0.851,0.117,0.147,-1.706,-2.072,-1.396,0.676,46318,16284,30876,0.515,0.954,0.014,0.002,0.030,0
102160,Lowndes County,1,AL,135,67,-0.155,-0.380,0.021,0.025,-0.460,-1.187,0.062,0.078,-1.811,-2.117,-1.371,0.746,25385,17512,29210,0.532,0.989,0.001,0.001,0.009,0
102190,Macon County,1,AL,180,90,-0.066,-0.291,0.021,0.024,-0.203,-0.914,0.060,0.076,-1.623,-1.675,-1.485,0.190,27857,15361,20969,0.154,0.983,0.004,0.001,0.012,0
102220,Madison County,1,AL,1481,740,0.047,-0.241,0.016,0.019,0.128,-0.748,0.046,0.058,0.926,-0.006,1.875,1.881,77150,26765,43087,0.524,0.189,0.027,0.079,0.705,1
102250,Marengo County,1,AL,104,52,-0.126,-0.364,0.023,0.027,-0.378,-1.135,0.068,0.086,-1.535,-1.632,-1.543,0.089,39499,15354,23346,0.503,0.695,0.005,0.002,0.298,0
102310,Marion County,1,AL,274,137,0.007,-0.264,0.020,0.023,0.020,-0.824,0.057,0.071,-1.213,-1.692,-0.698,0.994,46041,17727,27800,0.496,0.041,0.027,0.007,0.925,0
102350,Midfield City,1,AL,98,49,-0.086,-0.300,0.023,0.027,-0.260,-0.932,0.068,0.086,-0.475,-0.428,-0.519,-0.092,42500,26555,29499,0.116,0.976,0.006,0.003,0.015,0
102370,Mobile County,1,AL,4480,2240,-0.045,-0.283,0.015,0.017,-0.137,-0.884,0.043,0.054,-0.803,-1.340,-0.218,1.122,39954,20216,32561,0.493,0.505,0.021,0.034,0.441,1
102400,Monroe County,1,AL,294,147,-0.048,-0.289,0.019,0.022,-0.148,-0.898,0.055,0.069,-1.372,-1.941,-0.892,1.050,27820,17162,28792,0.472,0.525,0.004,0.014,0.457,0
102430,Montgomery County,1,AL,2464,1232,-0.071,-0.304,0.016,0.018,-0.212,-0.950,0.045,0.056,-0.226,-0.646,0.242,0.889,41262,22740,31162,0.353,0.782,0.040,0.032,0.146,1
102480,Morgan County,1,AL,605,303,0.060,-0.208,0.017,0.020,0.167,-0.644,0.049,0.062,-0.587,-1.211,0.038,1.249,57499,19477,32840,0.520,0.026,0.068,0.010,0.896,1
102490,Mountain Brook City,1,AL,355,177,0.112,-0.178,0.025,0.029,0.323,-0.552,0.072,0.089,2.098,0.743,3.631,2.889,169827,34727,98169,0.874,0.003,0.008,0.008,0.981,0
102520,Muscle Shoals City,1,AL,217,108,0.038,-0.235,0.023,0.026,0.103,-0.725,0.066,0.083,-0.030,-0.509,0.379,0.888,68214,21765,37269,0.488,0.173,0.028,0.020,0.779,0
102550,Oneonta City,1,AL,112,56,0.030,-0.236,0.024,0.028,0.087,-0.738,0.069,0.087,-0.909,-1.289,-0.487,0.802,42500,18391,24919,0.312,0.048,0.221,0.009,0.723,0
102580,Opelika City,1,AL,314,157,-0.032,-0.251,0.019,0.022,-0.100,-0.782,0.054,0.067,-0.741,-1.050,-0.424,0.626,37159,20501,27252,0.351,0.619,0.045,0.018,0.319,0
102610,Opp City,1,AL,102,51,-0.059,-0.320,0.025,0.029,-0.180,-0.999,0.072,0.091,-1.446,-2.288,-0.397,1.891,40833,16666,28658,0.670,0.234,0.007,0.010,0.749,0
102635,Oxford City,1,AL,319,159,0.032,-0.215,0.019,0.023,0.089,-0.670,0.056,0.070,-0.316,-1.319,0.648,1.966,52222,22889,35486,0.483,0.235,0.087,0.009,0.669,0
102640,Ozark City,1,AL,174,87,-0.024,-0.263,0.022,0.026,-0.079,-0.820,0.063,0.080,-0.802,-1.445,-0.095,1.350,41764,20546,31722,0.516,0.477,0.025,0.013,0.485,0
102650,Pell City,1,AL,315,157,0.031,-0.245,0.019,0.022,0.079,-0.763,0.055,0.068,-0.372,-0.919,0.203,1.122,43437,24079,34444,0.429,0.115,0.025,0.008,0.852,0
102670,Perry County,1,AL,138,69,-0.127,-0.322,0.022,0.026,-0.369,-1.007,0.065,0.082,-2.452,-2.577,-2.182,0.395,18499,13902,22363,0.368,0.990,0.002,0.000,0.008,0
102700,Phenix City,1,AL,505,252,0.012,-0.206,0.017,0.020,0.027,-0.643,0.050,0.062,-1.000,-1.455,-0.450,1.005,31923,18969,31198,0.445,0.618,0.038,0.008,0.336,1
102730,Pickens County,1,AL,216,108,-0.016,-0.260,0.019,0.022,-0.055,-0.808,0.056,0.070,-1.655,-2.285,-1.066,1.219,27159,17411,29720,0.566,0.595,0.013,0.005,0.388,0
102760,Piedmont City,1,AL,86,43,0.008,-0.249,0.024,0.028,0.022,-0.778,0.071,0.089,-1.570,-2.320,-0.747,1.574,37272,16874,28396,0.415,0.130,0.017,0.012,0.841,0
102790,Pike County,1,AL,179,89,0.030,-0.207,0.022,0.026,0.084,-0.638,0.063,0.080,-1.307,-2.090,-0.586,1.504,31583,17274,27552,0.551,0.465,0.023,0.011,0.500,0
102820,Randolph County,1,AL,181,90,0.002,-0.246,0.021,0.025,-0.008,-0.765,0.061,0.077,-1.192,-1.394,-0.966,0.428,47631,18779,25368,0.309,0.137,0.048,0.003,0.812,0
102850,Roanoke City,1,AL,117,59,0.001,-0.232,0.023,0.027,-0.009,-0.728,0.067,0.084,-1.315,-1.683,-0.911,0.772,29166,21689,25828,0.165,0.409,0.016,0.008,0.567,0
102880,Russell County,1,AL,272,136,-0.039,-0.283,0.020,0.024,-0.122,-0.877,0.058,0.074,-1.391,-1.846,-0.867,0.979,36944,18619,30918,0.630,0.369,0.043,0.012,0.576,0
102910,Russellville City,1,AL,192,96,0.036,-0.223,0.020,0.024,0.101,-0.700,0.059,0.074,-1.372,-1.880,-0.862,1.017,33653,16292,21181,0.426,0.069,0.353,0.005,0.572,0
102940,Scottsboro City,1,AL,206,103,0.006,-0.253,0.021,0.024,0.009,-0.788,0.060,0.076,-0.669,-1.217,-0.017,1.200,41538,20087,28306,0.513,0.063,0.044,0.013,0.881,0
102970,Selma City,1,AL,288,144,-0.048,-0.256,0.019,0.022,-0.144,-0.799,0.055,0.068,-2.059,-2.479,-1.508,0.971,20900,17483,27602,0.375,0.968,0.001,0.003,0.027,0
103000,Sheffield City,1,AL,80,40,-0.053,-0.292,0.025,0.030,-0.163,-0.913,0.074,0.094,-0.973,-1.435,-0.398,1.037,32115,17641,28966,0.511,0.429,0.031,0.005,0.535,0
103030,Shelby County,1,AL,2032,1016,0.043,-0.236,0.015,0.018,0.115,-0.738,0.045,0.056,0.815,0.027,1.621,1.594,73538,27708,45571,0.582,0.148,0.083,0.022,0.747,1
103062,St Clair County,1,AL,664,332,0.014,-0.258,0.017,0.019,0.027,-0.801,0.049,0.061,-0.532,-0.977,-0.198,0.778,59506,21751,36779,0.467,0.090,0.036,0.009,0.865,1
103090,Sumter County,1,AL,143,71,-0.113,-0.326,0.021,0.025,-0.340,-1.019,0.061,0.077,-1.832,-2.099,-1.415,0.684,15937,14628,24991,0.428,0.990,0.002,0.004,0.004,0
103120,Sylacauga City,1,AL,184,92,0.002,-0.255,0.021,0.024,0.001,-0.796,0.060,0.076,-1.027,-1.572,-0.509,1.063,33461,17954,31098,0.453,0.357,0.016,0.008,0.619,0
103150,Talladega City,1,AL,174,87,0.016,-0.195,0.021,0.024,0.038,-0.605,0.060,0.076,-2.210,-2.163,-2.200,-0.037,28275,16059,20660,0.150,0.600,0.018,0.003,0.378,0
103180,Talladega County,1,AL,602,301,-0.030,-0.283,0.017,0.020,-0.094,-0.884,0.049,0.061,-1.282,-1.973,-0.676,1.298,46538,17833,30121,0.589,0.350,0.018,0.004,0.628,1
103210,Tallapoosa County,1,AL,225,113,-0.039,-0.282,0.019,0.023,-0.131,-0.872,0.057,0.071,-0.954,-1.232,-0.671,0.561,38295,19731,28418,0.415,0.319,0.016,0.004,0.661,0
103240,Tallassee City,1,AL,148,74,0.020,-0.241,0.022,0.025,0.055,-0.748,0.063,0.080,-0.312,-0.237,-0.353,-0.115,57297,26915,32286,0.283,0.263,0.017,0.011,0.709,0
103270,Tarrant City,1,AL,93,46,-0.046,-0.247,0.025,0.029,-0.136,-0.768,0.071,0.090,-1.614,-1.490,-1.709,-0.219,24166,16882,21183,0.192,0.795,0.113,0.003,0.089,0
